body_acc_x,body_acc_y,body_acc_z,gravity_acc_x,gravity_acc_y,gravity_acc_z,body_gyro_x,body_gyro_y,body_gyro_z
7.014263E-6,0.0033502579,-7.014263E-6,0.0,9.80665,0.0,0.0,0.0,0.0
1.16904375E-5,0.0033502579,-1.16904375E-5,-7.014263E-6,9.80665,7.014263E-6,0.0,0.0,0.0
1.6951135E-5,0.0033512115,-1.7535656E-5,-1.16904375E-5,9.80665,1.16904375E-5,0.0,0.0,0.0
2.3380875E-5,0.0033502579,-2.3380875E-5,-1.6951135E-5,9.806649,1.7535656E-5,0.0,0.0,0.0
2.8641572E-5,0.0033512115,-2.9226096E-5,-2.3380875E-5,9.80665,2.3380875E-5,0.0,0.0,0.0
3.5071313E-5,0.0033502579,-3.5071313E-5,-2.8641572E-5,9.806649,2.9226096E-5,0.0,0.0,0.0
4.0332012E-5,0.0033512115,-4.0916533E-5,-3.5071313E-5,9.80665,3.5071313E-5,0.0,0.0,0.0
4.617723E-5,0.0033512115,-4.676175E-5,-4.0332012E-5,9.806649,4.0916533E-5,0.0,0.0,0.0
5.1437928E-5,0.0033493042,-5.026888E-5,-4.617723E-5,9.806649,4.676175E-5,0.0,0.0,0.0
5.7283145E-5,0.0033493042,-5.6114102E-5,-5.1437928E-5,9.806651,5.026888E-5,0.0,0.0,0.0
6.312836E-5,0.0033493042,-6.195932E-5,-5.7283145E-5,9.806651,5.6114102E-5,0.0,0.0,0.0
6.897358E-5,0.0033493042,-6.780454E-5,-6.312836E-5,9.806651,6.195932E-5,0.0,0.0,0.0
7.48188E-5,0.0033493042,-7.364976E-5,-6.897358E-5,9.806651,6.780454E-5,0.0,0.0,0.0
8.0664024E-5,0.0033493042,-7.949498E-5,-7.48188E-5,9.806651,7.364976E-5,0.0,0.0,0.0
8.826281E-5,0.0033502579,-8.767829E-5,-8.0664024E-5,9.806651,7.949498E-5,0.0,0.0,0.0
9.293898E-5,0.0033502579,-9.235446E-5,-8.826281E-5,9.80665,8.767829E-5,0.0,0.0,0.0
9.936872E-5,0.0033493042,-9.819968E-5,-9.293898E-5,9.80665,9.235446E-5,0.0,0.0,0.0
1.06382984E-4,0.0033493042,-1.0521394E-4,-9.936872E-5,9.806651,9.819968E-5,0.0,0.0,0.0
1.12228205E-4,0.0033493042,-1.1105916E-4,-1.06382984E-4,9.806651,1.0521394E-4,0.0,0.0,0.0
