body_acc_x,body_acc_y,body_acc_z,gravity_acc_x,gravity_acc_y,gravity_acc_z,body_gyro_x,body_gyro_y,body_gyro_z
0.0,0.0,-0.0,0.3156066,-0.036805835,9.801501,-1.6784668E-4,2.746582E-4,2.746582E-4
-0.0020967424,-1.0422617E-4,-0.0015449524,0.31429714,-0.036829617,9.801542,4.5776367E-5,4.8828125E-4,7.6293945E-5
0.00286749,-5.9477985E-5,-0.0020599365,0.31605557,-0.03722732,9.801485,4.5776367E-5,-3.6621094E-4,7.6293945E-5
0.0028802752,-0.0012869947,-0.0018434525,0.3160615,-0.03755703,9.801483,-1.6784668E-4,-1.5258789E-4,4.8828125E-4
0.0021644533,-0.005585637,0.0012407303,0.31699598,-0.040673587,9.801441,4.5776367E-5,4.8828125E-4,-1.373291E-4
0.0014106035,0.0019569695,0.0056066513,0.3170633,-0.039588217,9.801444,-1.6784668E-4,6.1035156E-5,7.6293945E-5
-7.879436E-4,0.0020820312,0.0036611557,0.31691507,-0.03803484,9.801455,4.5776367E-5,2.746582E-4,-1.373291E-4
8.380115E-4,-3.152266E-4,-0.002743721,0.31725398,-0.036838528,9.801448,2.593994E-4,-1.5258789E-4,7.6293945E-5
3.5712123E-4,-0.0041756257,0.0040769577,0.31766653,-0.038835462,9.801427,6.866455E-4,6.1035156E-5,7.6293945E-5
-7.1907043E-4,-0.0021282956,0.004149437,0.31712213,-0.039786465,9.80144,4.5776367E-5,-1.5258789E-4,2.746582E-4
0.0027885735,-3.177859E-4,0.0015096664,0.3192085,-0.03944399,9.801374,4.5776367E-5,6.1035156E-5,-1.373291E-4
-0.003308773,-9.6893683E-4,9.4890594E-4,0.3187029,-0.039386526,9.801392,2.593994E-4,-3.6621094E-4,2.746582E-4
-1.20431185E-4,-0.0025451817,0.0018091202,0.3176421,-0.03972746,9.801423,2.593994E-4,-5.79834E-4,-3.5095215E-4
-0.0066746473,-0.0037854947,0.0033750534,0.32221302,-0.0414621,9.801268,4.7302246E-4,4.8828125E-4,2.746582E-4
-0.00865683,0.0047717765,-9.889603E-4,0.32290062,-0.04152265,9.801245,4.5776367E-5,-0.0039978027,-7.7819824E-4
-0.003497392,0.0013412796,-0.009090424,0.32566136,-0.04336697,9.801146,-0.0012359619,-0.0025024414,-3.5095215E-4
-0.0016030669,0.0011026114,0.0012960434,0.32494017,-0.046224292,9.801156,-0.0013122559,-0.0021820068,-0.001739502
0.0077257454,-0.004250925,0.012681961,0.32569227,-0.048366122,9.801121,-0.001739502,-4.5776367E-5,-6.713867E-4
0.008074433,-0.0015635565,-0.0045366287,0.32647818,-0.049622923,9.801088,-3.0517578E-5,0.001449585,-3.0517578E-5
